52 33
AA	P	8	27.88	4
AB	D	5	18.21	3
AC	B	2	16.33	6
AD	T	4	21.95	14
AE	D	9	25.72	2
AF	P	2	20.84	7
AG	H	9	27.41	8
AH	D	3	10.95	19
AI	D	1	12.19	14
AJ	P	8	19.44	4
AK	D	7	17.35	19
AL	B	7	10.91	9
AN	B	2	23.18	15
AM	T	6	21.64	12
AO	D	7	12.68	6
AP	P	6	29.83	18
AQ	T	1	24.89	12
AR	H	4	19.48	11
AS	B	4	16.04	7
AT	H	8	24.32	14
AU	D	9	15.74	6
AV	P	5	12.64	5
AW	D	4	15.91	10
AX	D	7	29.43	15
AY	T	1	22.13	12
AZ	H	7	14.4	16
BA	H	5	17.43	18
BB	H	9	18.78	10
BC	T	2	19.62	9
BD	H	8	13.55	4
BE	T	4	19.74	1
BF	T	6	24.19	13
BG	B	7	25.42	11
BH	P	2	29.92	2
BI	P	6	20.14	13
BJ	B	7	19.29	2
BK	H	9	21.78	8
BL	H	8	23.72	1
BN	H	3	24.24	14
BM	B	8	24.74	13
BO	H	3	27.81	17
BP	B	4	29.79	8
BQ	D	7	24.71	1
BR	H	8	12.72	18
BS	P	6	23.06	16
BT	B	6	12.39	15
BU	T	8	15.73	10
BV	H	2	19.25	9
BW	T	1	20.32	7
BX	B	2	29.48	9
BY	T	2	13.23	3
BZ	H	9	27.56	17
